workingTag,.io.name,.io.p&id,.io.desc,.io.pLbl,.gsHi,.configDis,.notPres,.almDlySp,.almShtdnEn,.almEn,.io.rawMin,.io.rawMax,.io.scldMin,.io.scldMax,.io.unit
COMM_WRK;IO;HS00_00,HS 00.00,HS 00.00,Local EMO 1,HS 00.00,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;REMO,REMO,REMO,Remote EMO,REMO,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;RLSAF,RLSAF,RLSAF,Remote Life Safety,RLSAF,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;ZS20_00,ZS 20.00,ZS 20.00,Common Cabinet Door Interlock 1,ZS 20.00,TRUE,TRUE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;PS00_00,PS 00.00,PS 00.00,Cabinet Exhaust Fault,PS 00.00,TRUE,TRUE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;LS00_05,LS 00.05,LS 00.05,Cabinet Leak 2,LS 00.05,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;PS00_01,PS 00.01,PS 00.01,Common Cabinet Exhaust Fault 2,PS 00.01,TRUE,TRUE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;ZS00_00,ZS 00.00,ZS 00.00,Control Cabinet Door Interlock,ZS 00.00,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;LS00_04,LS 00.04,LS 00.04,Cabinet Leak 1,LS 00.04,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;C2,C 2,C 2,Primary VAC Loss,C 2,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;DM1,DM 1,DM 1,Redundancy Module 1 Fault,DM 1,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;DM2,DM 2,DM 2,Redundancy Module 2 Fault,DM 2,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;PSP1,PSP 1,PSP 1,Power Supply 1 Fault,PSP 1,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;PSP2,PSP 2,PSP 2,Power Supply 2 Fault,PSP 2,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;ZS00_01,ZS 00.01,ZS 00.01,Alarm Bypass Key Switch,ZS 00.01,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
COMM_WRK;IO;R10,R 10,R 10,EMO Enable,R 10,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
COMM_WRK;IO;LS50_07,LS 50.07,LS 50.07,Sample Overfill,LS 50.07,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;ZS70_00,ZS 70.00,ZS 70.00,Sample Door Interlock,ZS 70.00,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;HS70_00,HS 70.00,HS 70.00,Sample Dispense Button,HS 70.00,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
COMM_WRK;IO;LS,LS,LS,Sample Drain,LS,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;PS21_00,PS 21.00,PS 21.00,Eng 1 Exhaust Fault,PS 21.00,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;PS22_00,PS 22.00,PS 22.00,Eng 2 Exhaust Fault,PS 22.00,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;LS50_01,LS 50.01,LS 50.01,Waste Vessel Low,LS 50.01,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
COMM_WRK;IO;LS50_03,LS 50.03,LS 50.03,Waste Vessel Full,LS 50.03,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
COMM_WRK;IO;LS50_04,LS 50.04,LS 50.04,Waste Vessel High,LS 50.04,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;LS50_05,LS 50.05,LS 50.05,Waste Vessel High High,LS 50.05,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;FS86_00,FS 86.00,FS 86.00,Waste Dilution Flow Switch,FS 86.00,TRUE,FALSE,TRUE,1,FALSE,FALSE,0,27648,0,60,L/m
COMM_WRK;IO;FS50_00,FS 50.00,FS 50.00,Waste Flow Switch,FS 50.00,TRUE,FALSE,FALSE,1,FALSE,FALSE,0,27648,0,60,L/m
COMM_WRK;IO;ZS20_01,ZS 20.01,ZS 20.01,Common Cabinet Door Interlock 2,ZS 20.01,TRUE,TRUE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;C4,C 4,C 4,Pump Primary VAC Loss,C 4,TRUE,FALSE,TRUE,1,FALSE,FALSE,,,,,
COMM_WRK;IO;HPM1,HPM 1,HPM 1,HPM1 Shutdown (From the Customer),HPM 1,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;HPM2,HPM 2,HPM 2,HPM2 Shutdown (From the Customer),HPM 2,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;LS21_00,LS 21.00,LS 21.00,Tank 21.00 Low Low,LS 21.00,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;LS21_01,LS 21.01,LS 21.01,Tank 21.00 Low,LS 21.01,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;LS21_02,LS 21.02,LS 21.02,Tank 21.00 Fill,LS 21.02,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;LS21_03,LS 21.03,LS 21.03,Tank 21.00 Full,LS 21.03,TRUE,FALSE,FALSE,1,FALSE,FALSE,,,,,
COMM_WRK;IO;LS21_04,LS 21.04,LS 21.04,Tank 21.00 High,LS 21.04,FALSE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;LS21_05,LS 21.05,LS 21.05,Tank 21.00 High High,LS 21.05,TRUE,FALSE,FALSE,1,TRUE,TRUE,,,,,
COMM_WRK;IO;LS21_06,LS 21.06,LS 21.06,Tank 21.00 Lower Containment Leak 1,LS 21.06,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
COMM_WRK;IO;LS21_08,LS 21.08,LS 21.08,Tank 21.00 Upper Containment Leak 1,LS 21.08,TRUE,FALSE,FALSE,1,FALSE,TRUE,,,,,
